# SOCKS5 代理列表
# 更新时间: 2026-08-18 20:50:32 (北京时间)
# 总数: 14
# 格式: socks5://IP:PORT


# Germany - 2 个代理
socks5://37.18.73.60:5566 # Score: 55.0, RT: 1.49s
socks5://159.195.49.27:1080 # Score: 45.0, RT: 3.53s

# Japan - 1 个代理
socks5://103.75.118.84:1080 # Score: 50.0, RT: 2.97s

# Switzerland - 1 个代理
socks5://45.95.232.35:1080 # Score: 38.0, RT: 3.64s

# United States - 10 个代理
socks5://68.71.243.14:4145 # Score: 60.0, RT: 0.57s
socks5://184.181.178.33:4145 # Score: 60.0, RT: 0.88s
socks5://192.111.137.37:18762 # Score: 55.0, RT: 1.09s
socks5://192.252.211.197:14921 # Score: 55.0, RT: 1.28s
socks5://184.182.240.211:4145 # Score: 55.0, RT: 1.77s
socks5://184.181.217.201:4145 # Score: 55.0, RT: 1.02s
socks5://184.178.172.18:15280 # Score: 55.0, RT: 1.96s
socks5://72.206.74.126:4145 # Score: 45.0, RT: 3.68s
socks5://137.131.12.103:1080 # Score: 45.0, RT: 4.64s
socks5://184.178.172.11:4145 # Score: 45.0, RT: 4.03s
